="",="(1)",="(2)",="(3)"
="",="has an account in a bank or other financial institution",="has an account in a bank or other financial institution",="has an account in a bank or other financial institution"
="",="b/se",="b/se",="b/se"
="female",="-0.102***",="-0.132***",="-0.157***"
="",="(0.01)",="(0.01)",="(0.01)"
="muslim",="",="-0.249***",="-0.205***"
="",="",="(0.02)",="(0.02)"
="female_muslim",="",="0.075***",=""
="",="",="(0.02)",=""
="rural",="",="",="-0.409***"
="",="",="",="(0.02)"
="female_muslim_rural",="",="",="0.121***"
="",="",="",="(0.01)"
="Constant",="0.275***",="0.378***",="0.685***"
="",="(0.02)",="(0.02)",="(0.02)"
="Observations",="22965",="22965",="22965"
="* p<0.05, ** p<0.01, *** p<0.001"
